,branch,variable,expression
729,Demand Sites and Catchments\Buckeye\Cotton,Fraction Wetted,0.6
730,Demand Sites and Catchments\Buckeye\Cotton,Total Soil Thickness,2
731,Demand Sites and Catchments\Buckeye\Cotton,Irrigation Efficiency,60
732,Demand Sites and Catchments\Buckeye\Cotton,Loss to Groundwater,0
733,Demand Sites and Catchments\Buckeye\Cotton,Soil Water Capacity,SoilLibrary(Loam)
734,Demand Sites and Catchments\Buckeye\Cotton,Loss to Runoff,0
735,Demand Sites and Catchments\Buckeye\Cotton,Minimum Depth,0
736,Demand Sites and Catchments\Buckeye\Cotton,Target Depth,0
737,Demand Sites and Catchments\Buckeye\Cotton,Maximum Infiltration Rate,243.8
738,Demand Sites and Catchments\Buckeye\Cotton,Release Requirement,0
739,Demand Sites and Catchments\Buckeye\Cotton,Maximum Percolation Rate,7315.2
740,Demand Sites and Catchments\Buckeye\Cotton,Effective Precipitation,100
741,Demand Sites and Catchments\Buckeye\Cotton,Fraction Covered,0
742,Demand Sites and Catchments\Buckeye\Cotton,Direct Recharge to GW,0.0
743,Demand Sites and Catchments\Buckeye\Barley,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Barley.xlsx, A3:B12))"
744,Demand Sites and Catchments\Buckeye\Barley,Potential Yield,6099
745,Demand Sites and Catchments\Buckeye\Barley,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, Jun 9, % of RAW, 100, % Depletion, 100)"
746,Demand Sites and Catchments\Buckeye\Barley,Market Price,0
747,Demand Sites and Catchments\Buckeye\Barley,Fraction Wetted,0.6
748,Demand Sites and Catchments\Buckeye\Barley,Total Soil Thickness,2
749,Demand Sites and Catchments\Buckeye\Barley,Irrigation Efficiency,60
750,Demand Sites and Catchments\Buckeye\Barley,Loss to Groundwater,0
751,Demand Sites and Catchments\Buckeye\Barley,Soil Water Capacity,SoilLibrary(Loam)
752,Demand Sites and Catchments\Buckeye\Barley,Loss to Runoff,0
753,Demand Sites and Catchments\Buckeye\Barley,Minimum Depth,0
754,Demand Sites and Catchments\Buckeye\Barley,Target Depth,0
755,Demand Sites and Catchments\Buckeye\Barley,Maximum Infiltration Rate,243.8
756,Demand Sites and Catchments\Buckeye\Barley,Release Requirement,0
757,Demand Sites and Catchments\Buckeye\Barley,Maximum Percolation Rate,7315.2
758,Demand Sites and Catchments\Buckeye\Barley,Effective Precipitation,100
759,Demand Sites and Catchments\Buckeye\Barley,Fraction Covered,0
760,Demand Sites and Catchments\Buckeye\Barley,Direct Recharge to GW,0.0
761,Demand Sites and Catchments\Buckeye\Winter_Wheat,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Winter Wheat.xlsx, A3:B12))"
762,Demand Sites and Catchments\Buckeye\Winter_Wheat,Potential Yield,6355
763,Demand Sites and Catchments\Buckeye\Winter_Wheat,Irrigation Schedule,"IrrigationSchedule(1, Dec 1, May 29, % of RAW, 100, % Depletion, 100)"
764,Demand Sites and Catchments\Buckeye\Winter_Wheat,Market Price,0
765,Demand Sites and Catchments\Buckeye\Winter_Wheat,Fraction Wetted,0.6
766,Demand Sites and Catchments\Buckeye\Winter_Wheat,Total Soil Thickness,2
767,Demand Sites and Catchments\Buckeye\Winter_Wheat,Irrigation Efficiency,60
768,Demand Sites and Catchments\Buckeye\Winter_Wheat,Loss to Groundwater,0
769,Demand Sites and Catchments\Buckeye\Winter_Wheat,Soil Water Capacity,SoilLibrary(Loam)
770,Demand Sites and Catchments\Buckeye\Winter_Wheat,Loss to Runoff,0
771,Demand Sites and Catchments\Buckeye\Winter_Wheat,Minimum Depth,0
772,Demand Sites and Catchments\Buckeye\Winter_Wheat,Target Depth,0
773,Demand Sites and Catchments\Buckeye\Winter_Wheat,Maximum Infiltration Rate,243.8
774,Demand Sites and Catchments\Buckeye\Winter_Wheat,Release Requirement,0
775,Demand Sites and Catchments\Buckeye\Winter_Wheat,Maximum Percolation Rate,7315.2
776,Demand Sites and Catchments\Buckeye\Winter_Wheat,Effective Precipitation,100
777,Demand Sites and Catchments\Buckeye\Winter_Wheat,Fraction Covered,0
778,Demand Sites and Catchments\Buckeye\Winter_Wheat,Direct Recharge to GW,0.0
779,Demand Sites and Catchments\Buckeye\Other_Hay,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Other Hay.xlsx, A3:B12))"
780,Demand Sites and Catchments\Buckeye\Other_Hay,Potential Yield,9824
781,Demand Sites and Catchments\Buckeye\Other_Hay,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, May 15, % of RAW, 100, % Depletion, 100)"
782,Demand Sites and Catchments\Buckeye\Other_Hay,Market Price,0
783,Demand Sites and Catchments\Buckeye\Other_Hay,Fraction Wetted,0.6
784,Demand Sites and Catchments\Buckeye\Other_Hay,Total Soil Thickness,2
785,Demand Sites and Catchments\Buckeye\Other_Hay,Irrigation Efficiency,60
786,Demand Sites and Catchments\Buckeye\Other_Hay,Loss to Groundwater,0
787,Demand Sites and Catchments\Buckeye\Other_Hay,Soil Water Capacity,SoilLibrary(Loam)
788,Demand Sites and Catchments\Buckeye\Other_Hay,Loss to Runoff,0
789,Demand Sites and Catchments\Buckeye\Other_Hay,Minimum Depth,0
790,Demand Sites and Catchments\Buckeye\Other_Hay,Target Depth,0
791,Demand Sites and Catchments\Buckeye\Other_Hay,Maximum Infiltration Rate,243.8
792,Demand Sites and Catchments\Buckeye\Other_Hay,Release Requirement,0
793,Demand Sites and Catchments\Buckeye\Other_Hay,Maximum Percolation Rate,7315.2
794,Demand Sites and Catchments\Buckeye\Other_Hay,Effective Precipitation,100
795,Demand Sites and Catchments\Buckeye\Other_Hay,Fraction Covered,0
796,Demand Sites and Catchments\Buckeye\Other_Hay,Direct Recharge to GW,0.0
797,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Alfalfa.xlsx, A3:B12))*0.24"
798,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Potential Yield,"MultiCropValues(2619, 2619, 2619, 2619)"
799,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, May 14, % of RAW, 100, % Depletion, 100,  2, May 15, Jun 28, % of RAW, 100, % Depletion, 100,  3, Jun 29, Aug 12, % of RAW, 100, % Depletion, 100,  4, Aug 13, Sep 26, % of RAW, 100, % Depletion, 100)"
800,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Market Price,0
801,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Fraction Wetted,0.6
802,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Total Soil Thickness,2
803,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Irrigation Efficiency,60
804,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Loss to Groundwater,0
805,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Soil Water Capacity,SoilLibrary(Loam)
806,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Loss to Runoff,0
807,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Minimum Depth,0
808,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Target Depth,0
809,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Maximum Infiltration Rate,243.8
810,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Release Requirement,0
811,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Maximum Percolation Rate,7315.2
812,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Effective Precipitation,100
813,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Fraction Covered,0
814,Demand Sites and Catchments\Buckeye\Alfalfa_haylage,Direct Recharge to GW,0.0
815,Demand Sites and Catchments\Buckeye\Sorghum_silage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Sorghum.xlsx, A3:B12))*0.8102"
816,Demand Sites and Catchments\Buckeye\Sorghum_silage,Potential Yield,45932
817,Demand Sites and Catchments\Buckeye\Sorghum_silage,Irrigation Schedule,"IrrigationSchedule(1, Apr 1, Aug 8, % of RAW, 100, % Depletion, 100)"
818,Demand Sites and Catchments\Buckeye\Sorghum_silage,Market Price,0
819,Demand Sites and Catchments\Buckeye\Sorghum_silage,Fraction Wetted,0.6
820,Demand Sites and Catchments\Buckeye\Sorghum_silage,Total Soil Thickness,2
821,Demand Sites and Catchments\Buckeye\Sorghum_silage,Irrigation Efficiency,60
822,Demand Sites and Catchments\Buckeye\Sorghum_silage,Loss to Groundwater,0
823,Demand Sites and Catchments\Buckeye\Sorghum_silage,Soil Water Capacity,SoilLibrary(Loam)
824,Demand Sites and Catchments\Buckeye\Sorghum_silage,Loss to Runoff,0
825,Demand Sites and Catchments\Buckeye\Sorghum_silage,Minimum Depth,0
826,Demand Sites and Catchments\Buckeye\Sorghum_silage,Target Depth,0
827,Demand Sites and Catchments\Buckeye\Sorghum_silage,Maximum Infiltration Rate,243.8
828,Demand Sites and Catchments\Buckeye\Sorghum_silage,Release Requirement,0
829,Demand Sites and Catchments\Buckeye\Sorghum_silage,Maximum Percolation Rate,7315.2
830,Demand Sites and Catchments\Buckeye\Sorghum_silage,Effective Precipitation,100
831,Demand Sites and Catchments\Buckeye\Sorghum_silage,Fraction Covered,0
832,Demand Sites and Catchments\Buckeye\Sorghum_silage,Direct Recharge to GW,0.0
833,Demand Sites and Catchments\Buckeye\Corn_silage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_Corn.xlsx, A3:B12))*0.9553"
834,Demand Sites and Catchments\Buckeye\Corn_silage,Potential Yield,58667
835,Demand Sites and Catchments\Buckeye\Corn_silage,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Aug 1, % of RAW, 100, % Depletion, 100)"
836,Demand Sites and Catchments\Buckeye\Corn_silage,Market Price,0
837,Demand Sites and Catchments\Buckeye\Corn_silage,Fraction Wetted,0.6
838,Demand Sites and Catchments\Buckeye\Corn_silage,Total Soil Thickness,2
839,Demand Sites and Catchments\Buckeye\Corn_silage,Irrigation Efficiency,60
840,Demand Sites and Catchments\Buckeye\Corn_silage,Loss to Groundwater,0
841,Demand Sites and Catchments\Buckeye\Corn_silage,Soil Water Capacity,SoilLibrary(Loam)
842,Demand Sites and Catchments\Buckeye\Corn_silage,Loss to Runoff,0
843,Demand Sites and Catchments\Buckeye\Corn_silage,Minimum Depth,0
844,Demand Sites and Catchments\Buckeye\Corn_silage,Target Depth,0
845,Demand Sites and Catchments\Buckeye\Corn_silage,Maximum Infiltration Rate,243.8
846,Demand Sites and Catchments\Buckeye\Corn_silage,Release Requirement,0
847,Demand Sites and Catchments\Buckeye\Corn_silage,Maximum Percolation Rate,7315.2
848,Demand Sites and Catchments\Buckeye\Corn_silage,Effective Precipitation,100
849,Demand Sites and Catchments\Buckeye\Corn_silage,Fraction Covered,0
850,Demand Sites and Catchments\Buckeye\Corn_silage,Direct Recharge to GW,0.0
851,Demand Sites and Catchments\Buckeye\VegFruit,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\buckeye_VegFruit.xlsx, A3:B12))"
852,Demand Sites and Catchments\Buckeye\VegFruit,Potential Yield,33407
853,Demand Sites and Catchments\Buckeye\VegFruit,Irrigation Schedule,"IrrigationSchedule(1, Nov 15, Apr 20, % of RAW, 100, % Depletion, 100)"
854,Demand Sites and Catchments\Buckeye\VegFruit,Market Price,0
855,Demand Sites and Catchments\Buckeye\VegFruit,Fraction Wetted,0.6
856,Demand Sites and Catchments\Buckeye\VegFruit,Total Soil Thickness,2
857,Demand Sites and Catchments\Buckeye\VegFruit,Irrigation Efficiency,60
858,Demand Sites and Catchments\Buckeye\VegFruit,Loss to Groundwater,0
859,Demand Sites and Catchments\Buckeye\VegFruit,Soil Water Capacity,SoilLibrary(Loam)
860,Demand Sites and Catchments\Buckeye\VegFruit,Loss to Runoff,0
861,Demand Sites and Catchments\Buckeye\VegFruit,Minimum Depth,0
862,Demand Sites and Catchments\Buckeye\VegFruit,Target Depth,0
863,Demand Sites and Catchments\Buckeye\VegFruit,Maximum Infiltration Rate,243.8
864,Demand Sites and Catchments\Buckeye\VegFruit,Release Requirement,0
865,Demand Sites and Catchments\Buckeye\VegFruit,Maximum Percolation Rate,7315.2
866,Demand Sites and Catchments\Buckeye\VegFruit,Effective Precipitation,100
867,Demand Sites and Catchments\Buckeye\VegFruit,Fraction Covered,0
868,Demand Sites and Catchments\Buckeye\VegFruit,Direct Recharge to GW,0.0
869,Demand Sites and Catchments\Adaman,Demand Priority,1
870,Demand Sites and Catchments\Adaman,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Area\adaman.xlsx, A3:B12))"
871,Demand Sites and Catchments\Adaman,Precipitation,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Buckeye_2009_2018.csv, 8)"
872,Demand Sites and Catchments\Adaman,Min Temperature,0
873,Demand Sites and Catchments\Adaman,Max Temperature,0
874,Demand Sites and Catchments\Adaman,Min Humidity,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Buckeye_2009_2018.csv, 5)"
875,Demand Sites and Catchments\Adaman,Max Humidity,0
876,Demand Sites and Catchments\Adaman,Average Humidity,0
877,Demand Sites and Catchments\Adaman,Irrigation Use of Runoff,0
878,Demand Sites and Catchments\Adaman,Wind,"ReadFromFile(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\Edited_Data\Buckeye_2009_2018.csv, 9)"
879,Demand Sites and Catchments\Adaman,Solar Radiation,0
880,Demand Sites and Catchments\Adaman,Sunshine Hours,0
881,Demand Sites and Catchments\Adaman,Cloudiness Fraction,0
882,Demand Sites and Catchments\Adaman,Krs,0.16
883,Demand Sites and Catchments\Adaman,Capital Costs,0
884,Demand Sites and Catchments\Adaman,Fixed Operating Costs,0
885,Demand Sites and Catchments\Adaman,Variable Operating Costs,0
886,Demand Sites and Catchments\Adaman,Fixed Benefits,0
887,Demand Sites and Catchments\Adaman,Variable Benefits,0
888,Demand Sites and Catchments\Adaman\Alfalfa_hay,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Alfalfa.xlsx, A3:B12))*0.760"
889,Demand Sites and Catchments\Adaman\Alfalfa_hay,Potential Yield,"MultiCropValues(4846, 4846, 4846, 4846)"
890,Demand Sites and Catchments\Adaman\Alfalfa_hay,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, May 14, % of RAW, 100, % Depletion, 100,  2, May 15, Jun 28, % of RAW, 100, % Depletion, 100,  3, Jun 29, Aug 12, % of RAW, 100, % Depletion, 100,  4, Aug 13, Sep 26, % of RAW, 100, % Depletion, 100)"
891,Demand Sites and Catchments\Adaman\Alfalfa_hay,Market Price,0
892,Demand Sites and Catchments\Adaman\Alfalfa_hay,Fraction Wetted,0.6
893,Demand Sites and Catchments\Adaman\Alfalfa_hay,Total Soil Thickness,2
894,Demand Sites and Catchments\Adaman\Alfalfa_hay,Irrigation Efficiency,60
895,Demand Sites and Catchments\Adaman\Alfalfa_hay,Loss to Groundwater,0
896,Demand Sites and Catchments\Adaman\Alfalfa_hay,Soil Water Capacity,SoilLibrary(Loam)
897,Demand Sites and Catchments\Adaman\Alfalfa_hay,Loss to Runoff,0
898,Demand Sites and Catchments\Adaman\Alfalfa_hay,Minimum Depth,0
899,Demand Sites and Catchments\Adaman\Alfalfa_hay,Target Depth,0
900,Demand Sites and Catchments\Adaman\Alfalfa_hay,Maximum Infiltration Rate,243.8
901,Demand Sites and Catchments\Adaman\Alfalfa_hay,Release Requirement,0
902,Demand Sites and Catchments\Adaman\Alfalfa_hay,Maximum Percolation Rate,7315.2
903,Demand Sites and Catchments\Adaman\Alfalfa_hay,Effective Precipitation,100
904,Demand Sites and Catchments\Adaman\Alfalfa_hay,Fraction Covered,0
905,Demand Sites and Catchments\Adaman\Alfalfa_hay,Direct Recharge to GW,0.0
906,Demand Sites and Catchments\Adaman\Corn_grain,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Corn.xlsx, A3:B12))*0.0447"
907,Demand Sites and Catchments\Adaman\Corn_grain,Potential Yield,9915
908,Demand Sites and Catchments\Adaman\Corn_grain,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Aug 1, % of RAW, 100, % Depletion, 100)"
909,Demand Sites and Catchments\Adaman\Corn_grain,Market Price,0
910,Demand Sites and Catchments\Adaman\Corn_grain,Fraction Wetted,0.6
911,Demand Sites and Catchments\Adaman\Corn_grain,Total Soil Thickness,2
912,Demand Sites and Catchments\Adaman\Corn_grain,Irrigation Efficiency,60
913,Demand Sites and Catchments\Adaman\Corn_grain,Loss to Groundwater,0
914,Demand Sites and Catchments\Adaman\Corn_grain,Soil Water Capacity,SoilLibrary(Loam)
915,Demand Sites and Catchments\Adaman\Corn_grain,Loss to Runoff,0
916,Demand Sites and Catchments\Adaman\Corn_grain,Minimum Depth,0
917,Demand Sites and Catchments\Adaman\Corn_grain,Target Depth,0
918,Demand Sites and Catchments\Adaman\Corn_grain,Maximum Infiltration Rate,243.8
919,Demand Sites and Catchments\Adaman\Corn_grain,Release Requirement,0
920,Demand Sites and Catchments\Adaman\Corn_grain,Maximum Percolation Rate,7315.2
921,Demand Sites and Catchments\Adaman\Corn_grain,Effective Precipitation,100
922,Demand Sites and Catchments\Adaman\Corn_grain,Fraction Covered,0
923,Demand Sites and Catchments\Adaman\Corn_grain,Direct Recharge to GW,0.0
924,Demand Sites and Catchments\Adaman\Durum_Wheat,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Durum Wheat.xlsx, A3:B12))"
925,Demand Sites and Catchments\Adaman\Durum_Wheat,Potential Yield,6445
926,Demand Sites and Catchments\Adaman\Durum_Wheat,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, Jun 29, % of RAW, 100, % Depletion, 100)"
927,Demand Sites and Catchments\Adaman\Durum_Wheat,Market Price,0
928,Demand Sites and Catchments\Adaman\Durum_Wheat,Fraction Wetted,0.6
929,Demand Sites and Catchments\Adaman\Durum_Wheat,Total Soil Thickness,2
930,Demand Sites and Catchments\Adaman\Durum_Wheat,Irrigation Efficiency,60
931,Demand Sites and Catchments\Adaman\Durum_Wheat,Loss to Groundwater,0
932,Demand Sites and Catchments\Adaman\Durum_Wheat,Soil Water Capacity,SoilLibrary(Loam)
933,Demand Sites and Catchments\Adaman\Durum_Wheat,Loss to Runoff,0
934,Demand Sites and Catchments\Adaman\Durum_Wheat,Minimum Depth,0
935,Demand Sites and Catchments\Adaman\Durum_Wheat,Target Depth,0
936,Demand Sites and Catchments\Adaman\Durum_Wheat,Maximum Infiltration Rate,243.8
937,Demand Sites and Catchments\Adaman\Durum_Wheat,Release Requirement,0
938,Demand Sites and Catchments\Adaman\Durum_Wheat,Maximum Percolation Rate,7315.2
939,Demand Sites and Catchments\Adaman\Durum_Wheat,Effective Precipitation,100
940,Demand Sites and Catchments\Adaman\Durum_Wheat,Fraction Covered,0
941,Demand Sites and Catchments\Adaman\Durum_Wheat,Direct Recharge to GW,0.0
942,Demand Sites and Catchments\Adaman\Sorghum_grain,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Sorghum.xlsx, A3:B12))*0.1898"
943,Demand Sites and Catchments\Adaman\Sorghum_grain,Potential Yield,4516
944,Demand Sites and Catchments\Adaman\Sorghum_grain,Irrigation Schedule,"IrrigationSchedule(1, Apr 1, Aug 8, % of RAW, 100, % Depletion, 100)"
945,Demand Sites and Catchments\Adaman\Sorghum_grain,Market Price,0
946,Demand Sites and Catchments\Adaman\Sorghum_grain,Fraction Wetted,0.6
947,Demand Sites and Catchments\Adaman\Sorghum_grain,Total Soil Thickness,2
948,Demand Sites and Catchments\Adaman\Sorghum_grain,Irrigation Efficiency,60
949,Demand Sites and Catchments\Adaman\Sorghum_grain,Loss to Groundwater,0
950,Demand Sites and Catchments\Adaman\Sorghum_grain,Soil Water Capacity,SoilLibrary(Loam)
951,Demand Sites and Catchments\Adaman\Sorghum_grain,Loss to Runoff,0
952,Demand Sites and Catchments\Adaman\Sorghum_grain,Minimum Depth,0
953,Demand Sites and Catchments\Adaman\Sorghum_grain,Target Depth,0
954,Demand Sites and Catchments\Adaman\Sorghum_grain,Maximum Infiltration Rate,243.8
955,Demand Sites and Catchments\Adaman\Sorghum_grain,Release Requirement,0
956,Demand Sites and Catchments\Adaman\Sorghum_grain,Maximum Percolation Rate,7315.2
957,Demand Sites and Catchments\Adaman\Sorghum_grain,Effective Precipitation,100
958,Demand Sites and Catchments\Adaman\Sorghum_grain,Fraction Covered,0
959,Demand Sites and Catchments\Adaman\Sorghum_grain,Direct Recharge to GW,0.0
960,Demand Sites and Catchments\Adaman\Potatoes,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Potatoes.xlsx, A3:B12))"
961,Demand Sites and Catchments\Adaman\Potatoes,Potential Yield,31608
962,Demand Sites and Catchments\Adaman\Potatoes,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, Jul 18, % of RAW, 100, % Depletion, 100)"
963,Demand Sites and Catchments\Adaman\Potatoes,Market Price,0
964,Demand Sites and Catchments\Adaman\Potatoes,Fraction Wetted,0.6
965,Demand Sites and Catchments\Adaman\Potatoes,Total Soil Thickness,2
966,Demand Sites and Catchments\Adaman\Potatoes,Irrigation Efficiency,60
967,Demand Sites and Catchments\Adaman\Potatoes,Loss to Groundwater,0
968,Demand Sites and Catchments\Adaman\Potatoes,Soil Water Capacity,SoilLibrary(Loam)
969,Demand Sites and Catchments\Adaman\Potatoes,Loss to Runoff,0
970,Demand Sites and Catchments\Adaman\Potatoes,Minimum Depth,0
971,Demand Sites and Catchments\Adaman\Potatoes,Target Depth,0
972,Demand Sites and Catchments\Adaman\Potatoes,Maximum Infiltration Rate,243.8
973,Demand Sites and Catchments\Adaman\Potatoes,Release Requirement,0
974,Demand Sites and Catchments\Adaman\Potatoes,Maximum Percolation Rate,7315.2
975,Demand Sites and Catchments\Adaman\Potatoes,Effective Precipitation,100
976,Demand Sites and Catchments\Adaman\Potatoes,Fraction Covered,0
977,Demand Sites and Catchments\Adaman\Potatoes,Direct Recharge to GW,0.0
978,Demand Sites and Catchments\Adaman\Sugarbeets,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Sugarbeets.xlsx, A3:B12))"
979,Demand Sites and Catchments\Adaman\Sugarbeets,Potential Yield,50032
980,Demand Sites and Catchments\Adaman\Sugarbeets,Irrigation Schedule,"IrrigationSchedule(1, Sep 1, May 13, % of RAW, 100, % Depletion, 100)"
981,Demand Sites and Catchments\Adaman\Sugarbeets,Market Price,0
982,Demand Sites and Catchments\Adaman\Sugarbeets,Fraction Wetted,0.6
983,Demand Sites and Catchments\Adaman\Sugarbeets,Total Soil Thickness,2
984,Demand Sites and Catchments\Adaman\Sugarbeets,Irrigation Efficiency,60
985,Demand Sites and Catchments\Adaman\Sugarbeets,Loss to Groundwater,0
986,Demand Sites and Catchments\Adaman\Sugarbeets,Soil Water Capacity,SoilLibrary(Loam)
987,Demand Sites and Catchments\Adaman\Sugarbeets,Loss to Runoff,0
988,Demand Sites and Catchments\Adaman\Sugarbeets,Minimum Depth,0
989,Demand Sites and Catchments\Adaman\Sugarbeets,Target Depth,0
990,Demand Sites and Catchments\Adaman\Sugarbeets,Maximum Infiltration Rate,243.8
991,Demand Sites and Catchments\Adaman\Sugarbeets,Release Requirement,0
992,Demand Sites and Catchments\Adaman\Sugarbeets,Maximum Percolation Rate,7315.2
993,Demand Sites and Catchments\Adaman\Sugarbeets,Effective Precipitation,100
994,Demand Sites and Catchments\Adaman\Sugarbeets,Fraction Covered,0
995,Demand Sites and Catchments\Adaman\Sugarbeets,Direct Recharge to GW,0.0
996,Demand Sites and Catchments\Adaman\Cotton,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Cotton.xlsx, A3:B12))"
997,Demand Sites and Catchments\Adaman\Cotton,Potential Yield,1657
998,Demand Sites and Catchments\Adaman\Cotton,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Oct 25, % of RAW, 100, % Depletion, 100)"
999,Demand Sites and Catchments\Adaman\Cotton,Market Price,0
1000,Demand Sites and Catchments\Adaman\Cotton,Fraction Wetted,0.6
1001,Demand Sites and Catchments\Adaman\Cotton,Total Soil Thickness,2
1002,Demand Sites and Catchments\Adaman\Cotton,Irrigation Efficiency,60
1003,Demand Sites and Catchments\Adaman\Cotton,Loss to Groundwater,0
1004,Demand Sites and Catchments\Adaman\Cotton,Soil Water Capacity,SoilLibrary(Loam)
1005,Demand Sites and Catchments\Adaman\Cotton,Loss to Runoff,0
1006,Demand Sites and Catchments\Adaman\Cotton,Minimum Depth,0
1007,Demand Sites and Catchments\Adaman\Cotton,Target Depth,0
1008,Demand Sites and Catchments\Adaman\Cotton,Maximum Infiltration Rate,243.8
1009,Demand Sites and Catchments\Adaman\Cotton,Release Requirement,0
1010,Demand Sites and Catchments\Adaman\Cotton,Maximum Percolation Rate,7315.2
1011,Demand Sites and Catchments\Adaman\Cotton,Effective Precipitation,100
1012,Demand Sites and Catchments\Adaman\Cotton,Fraction Covered,0
1013,Demand Sites and Catchments\Adaman\Cotton,Direct Recharge to GW,0.0
1014,Demand Sites and Catchments\Adaman\Barley,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\adaman_Barley.xlsx, A3:B12))"
1015,Demand Sites and Catchments\Adaman\Barley,Potential Yield,6099
1016,Demand Sites and Catchments\Adaman\Barley,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, Jun 9, % of RAW, 100, % Depletion, 100)"
1017,Demand Sites and Catchments\Adaman\Barley,Market Price,0
1018,Demand Sites and Catchments\Adaman\Barley,Fraction Wetted,0.6
1019,Demand Sites and Catchments\Adaman\Barley,Total Soil Thickness,2
1020,Demand Sites and Catchments\Adaman\Barley,Irrigation Efficiency,60
1021,Demand Sites and Catchments\Adaman\Barley,Loss to Groundwater,0
1022,Demand Sites and Catchments\Adaman\Barley,Soil Water Capacity,SoilLibrary(Loam)
1023,Demand Sites and Catchments\Adaman\Barley,Loss to Runoff,0
1024,Demand Sites and Catchments\Adaman\Barley,Minimum Depth,0
